old_field,old_meta,new_id,difference (old -> port),note
grapevineRed,,red_grapevine,hardness 2 -> 0; resistance 3 -> 0; sound WOOD -> GRASS,
grapevineWhite,,green_grapevine,hardness 2 -> 0; resistance 3 -> 0; sound WOOD -> GRASS,
fangornRiverweed,,fangorn_riverweed,sound GRASS -> LILY_PAD,
mirkVines,,mirk_vines,sound GRASS -> VINE,
willowVines,,willow_vines,sound GRASS -> VINE,
flaxCrop,,flax_crop,sound STONE -> CROP,
leekCrop,,leek_crop,sound STONE -> CROP,
lettuceCrop,,lettuce_crop,sound STONE -> CROP,
pipeweedCrop,,pipeweed_crop,sound STONE -> CROP,
turnipCrop,,turnip_crop,sound STONE -> CROP,
yamCrop,,yam_crop,sound STONE -> CROP,
breeTable,,bree_crafting_table,sound WOOD -> STONE,
daleTable,,dale_crafting_table,sound WOOD -> STONE,
elvenTable,,elven_crafting_table,sound WOOD -> STONE,
highElvenTable,,high_elven_crafting_table,sound WOOD -> STONE,
hobbitTable,,hobbit_crafting_table,sound WOOD -> STONE,
rangerTable,,ranger_crafting_table,sound WOOD -> STONE,
rivendellTable,,rivendell_crafting_table,sound WOOD -> STONE,
rohirricTable,,rohirric_crafting_table,sound WOOD -> STONE,
tauredainTable,,tauredain_crafting_table,sound WOOD -> STONE,
woodElvenTable,,wood_elven_crafting_table,sound WOOD -> STONE,
