old_package,old_class,new_class,status,notes
client,LOTRAlignmentTicker,,missing,
client,LOTRAttackTiming,,missing,
client,LOTRClientProxy,,referenced,named in: LOTRModClient
client,LOTREntityRenderer,,missing,
client,LOTRGuiHandler,,missing,
client,LOTRItemRendererManager,,missing,
client,LOTRKeyHandler,,missing,
client,LOTRReflectionClient,,missing,
client,LOTRSpeechClient,,missing,
client,LOTRTextBody,,missing,
client,LOTRTextures,,missing,
client,LOTRTickHandlerClient,,referenced,named in: LOTRDrunkCamera LOTRModClient
client.fx,LOTREffectRenderer,,missing,
client.fx,LOTREntityAlignmentBonus,,missing,
client.fx,LOTREntityAngryFX,,missing,
client.fx,LOTREntityBlueFlameFX,,missing,
client.fx,LOTREntityBossSpawnFX,,missing,
client.fx,LOTREntityChillFX,,missing,
client.fx,LOTREntityDeadMarshFace,,missing,
client.fx,LOTREntityElvenGlowFX,,missing,
client.fx,LOTREntityGandalfFireballExplodeFX,,referenced,named in: LOTRGandalfFireballEntity
client.fx,LOTREntityLargeBlockFX,,missing,
client.fx,LOTREntityLeafFX,,missing,
client.fx,LOTREntityMTCHealFX,,missing,
client.fx,LOTREntityMallornEntHealFX,,missing,
client.fx,LOTREntityMallornEntSummonFX,,missing,
client.fx,LOTREntityMarshFlameFX,,missing,
client.fx,LOTREntityMarshLightFX,,missing,
client.fx,LOTREntityMorgulPortalFX,,missing,
client.fx,LOTREntityMusicFX,,missing,
client.fx,LOTREntityPickpocketFX,,missing,
client.fx,LOTREntityPickpocketFailFX,,missing,
client.fx,LOTREntityQuenditeSmokeFX,,missing,
client.fx,LOTREntityRiverWaterFX,,missing,
client.fx,LOTREntitySwordCommandMarker,,missing,
client.fx,LOTREntityUtumnoKillFX,,missing,
client.fx,LOTREntityWaveFX,,missing,
client.fx,LOTREntityWhiteSmokeFX,,missing,
client.gui,LOTRGuiAchievementHoverEvent,,missing,
client.gui,LOTRGuiAchievements,,missing,
client.gui,LOTRGuiAlignmentChoices,,missing,
client.gui,LOTRGuiAlloyForge,,referenced,named in: LOTRForgeScreen
client.gui,LOTRGuiAnvil,,missing,
client.gui,LOTRGuiArmorStand,,excluded,
client.gui,LOTRGuiBanner,LOTRBannerBlock LOTRBannerBlockEntity LOTRBannerRenderState LOTRBannerRenderer LOTRBannerModel,ported,
client.gui,LOTRGuiBannerButton,,missing,
client.gui,LOTRGuiBarrel,LOTRBarrelScreen,ported,
client.gui,LOTRGuiBeacon,LOTRBeaconScreen,ported,
client.gui,LOTRGuiBookshelf,,missing,
client.gui,LOTRGuiBrandingIron,,missing,
client.gui,LOTRGuiButtonAchievements,,missing,
client.gui,LOTRGuiButtonBanner,,missing,
client.gui,LOTRGuiButtonBannerWhitelistSlots,,missing,
client.gui,LOTRGuiButtonCoinExchange,,missing,
client.gui,LOTRGuiButtonFactionsMap,,missing,
client.gui,LOTRGuiButtonFactionsPage,,missing,
client.gui,LOTRGuiButtonFsInvites,,missing,
client.gui,LOTRGuiButtonFsOption,,missing,
client.gui,LOTRGuiButtonLeftRight,,missing,
client.gui,LOTRGuiButtonLock,,missing,
client.gui,LOTRGuiButtonMenu,,missing,
client.gui,LOTRGuiButtonOptions,,missing,
client.gui,LOTRGuiButtonPledge,,missing,
client.gui,LOTRGuiButtonRedBook,,missing,
client.gui,LOTRGuiButtonReforge,,missing,
client.gui,LOTRGuiButtonRestockPouch,,missing,
client.gui,LOTRGuiButtonShieldsArrows,,missing,
client.gui,LOTRGuiChestWithPouch,,missing,
client.gui,LOTRGuiCoinExchange,,missing,
client.gui,LOTRGuiCraftingTable,LOTRCraftingTableBlock LOTRCraftingTable,ported,
client.gui,LOTRGuiDaleCracker,LOTRDaleCrackerScreen,ported,
client.gui,LOTRGuiDownloadTerrain,,missing,
client.gui,LOTRGuiEditSign,,referenced,named in: LOTRCarvedSignEditScreen
client.gui,LOTRGuiFactions,LOTRScreenFactions,ported,
client.gui,LOTRGuiFastTravel,,missing,
client.gui,LOTRGuiFellowships,,missing,
client.gui,LOTRGuiGollum,,missing,
client.gui,LOTRGuiHireBase,,base,extended by: LOTRGuiMercenaryHire LOTRGuiUnitTrade
client.gui,LOTRGuiHiredDismiss,,missing,
client.gui,LOTRGuiHiredFarmer,,missing,
client.gui,LOTRGuiHiredFarmerInventory,,missing,
client.gui,LOTRGuiHiredInteract,,missing,
client.gui,LOTRGuiHiredNPC,,base,extended by: LOTRGuiHiredFarmer LOTRGuiHiredWarrior
client.gui,LOTRGuiHiredWarrior,,missing,
client.gui,LOTRGuiHiredWarriorInventory,,missing,
client.gui,LOTRGuiHobbitOven,LOTRHobbitOvenScreen,ported,
client.gui,LOTRGuiHornSelect,LOTRHornSelectScreen,ported,
client.gui,LOTRGuiMainMenu,,missing,
client.gui,LOTRGuiMap,,missing,
client.gui,LOTRGuiMapWidget,,missing,
client.gui,LOTRGuiMenu,,missing,
client.gui,LOTRGuiMenuBase,,base,extended by: LOTRGuiAchievements LOTRGuiFactions LOTRGuiFellowships LOTRGuiMap LOTRGuiOptions LOTRGuiShields ...
client.gui,LOTRGuiMercenaryHire,,missing,
client.gui,LOTRGuiMercenaryInteract,,missing,
client.gui,LOTRGuiMessage,,missing,
client.gui,LOTRGuiMillstone,LOTRMillstoneScreen,ported,
client.gui,LOTRGuiMiniquestOffer,,missing,
client.gui,LOTRGuiMiniquestTracker,,missing,
client.gui,LOTRGuiMobSpawner,,missing,
client.gui,LOTRGuiMountInventory,,missing,
client.gui,LOTRGuiNPCInteract,,base,extended by: LOTRGuiHiredDismiss LOTRGuiHiredInteract LOTRGuiTradeInteract LOTRGuiUnitTradeInteract
client.gui,LOTRGuiNPCMountInventory,,missing,
client.gui,LOTRGuiNPCRespawner,,missing,
client.gui,LOTRGuiNotificationDisplay,,missing,
client.gui,LOTRGuiOptions,,missing,
client.gui,LOTRGuiPouch,,excluded,
client.gui,LOTRGuiRedBook,,missing,
client.gui,LOTRGuiRendererMap,,missing,
client.gui,LOTRGuiScreenBase,,base,extended by: LOTRGuiAlignmentChoices LOTRGuiBanner LOTRGuiBeacon LOTRGuiBrandingIron LOTRGuiFastTravel LOTRGuiHiredNPC ...
client.gui,LOTRGuiScrollPane,,missing,
client.gui,LOTRGuiShields,,missing,
client.gui,LOTRGuiSlider,,missing,
client.gui,LOTRGuiSquadronItem,,referenced,named in: LOTRHornSelectScreen
client.gui,LOTRGuiTitles,,missing,
client.gui,LOTRGuiTrade,,missing,
client.gui,LOTRGuiTradeButton,,missing,
client.gui,LOTRGuiTradeInteract,,missing,
client.gui,LOTRGuiTradeUnitTradeInteract,,missing,
client.gui,LOTRGuiUnitTrade,,missing,
client.gui,LOTRGuiUnitTradeButton,,missing,
client.gui,LOTRGuiUnitTradeInteract,,missing,
client.gui,LOTRGuiUnsmeltery,LOTRUnsmelteryScreen,ported,
client.gui,LOTRMapLabels,,missing,
client.gui.config,LOTRGuiConfig,,missing,
client.gui.config,LOTRGuiFactory,,missing,
client.model,LOTRArmorModels,,referenced,named in: LOTRArmorRenderers LOTRArnorHelmetModel LOTRBlackNumenoreanHelmetModel LOTRDorwinionElvenHelmetModel ...
client.model,LOTRModelAleHorn,,referenced,named in: LOTRVesselModels
client.model,LOTRModelArmorStand,,excluded,
client.model,LOTRModelArnorHelmet,LOTRArnorHelmetModel,ported,
client.model,LOTRModelAurochs,,missing,
client.model,LOTRModelBalrog,,missing,
client.model,LOTRModelBanner,LOTRBannerModel,ported,
client.model,LOTRModelBannerWall,LOTRWallBannerBlock,ported,
client.model,LOTRModelBarrowWight,,missing,
client.model,LOTRModelBeacon,LOTRBeaconBlock LOTRBeaconBlockEntity LOTRBeaconScreen,ported,
client.model,LOTRModelBear,,missing,
client.model,LOTRModelBearRug,,missing,
client.model,LOTRModelBiped,,referenced,named in: LOTRGondorHelmetModel
client.model,LOTRModelBird,,missing,
client.model,LOTRModelBlackNumenoreanHelmet,LOTRBlackNumenoreanHelmetModel,ported,
client.model,LOTRModelBlackUrukHelmet,,missing,
client.model,LOTRModelBlock,,missing,
client.model,LOTRModelBoar,,missing,
client.model,LOTRModelButterfly,,missing,
client.model,LOTRModelCamel,,missing,
client.model,LOTRModelCompass,,missing,
client.model,LOTRModelCrocodile,,missing,
client.model,LOTRModelDeer,,missing,
client.model,LOTRModelDikDik,,missing,
client.model,LOTRModelDorwinionElfHelmet,,referenced,named in: LOTRDorwinionElvenHelmetModel
client.model,LOTRModelDwarf,,missing,
client.model,LOTRModelEasterlingHelmet,LOTREasterlingHelmetModel,ported,
client.model,LOTRModelElf,,missing,
client.model,LOTRModelElk,,missing,
client.model,LOTRModelEnt,,referenced,named in: LOTREntTrunkModel
client.model,LOTRModelFish,,missing,
client.model,LOTRModelFlamingo,,missing,
client.model,LOTRModelGaladhrimHelmet,LOTRGaladhrimHelmetModel,ported,
client.model,LOTRModelGemsbok,,missing,
client.model,LOTRModelGemsbokHelmet,LOTRGemsbokHelmetModel,ported,
client.model,LOTRModelGiraffe,,missing,
client.model,LOTRModelGiraffeRug,,missing,
client.model,LOTRModelGlassBottle,,referenced,named in: LOTRVesselModels
client.model,LOTRModelGoblet,,referenced,named in: LOTRVesselModels
client.model,LOTRModelGollum,,missing,
client.model,LOTRModelGondolinHelmet,LOTRGondolinHelmetModel,ported,
client.model,LOTRModelGondorHelmet,LOTRGondorHelmetModel,ported,
client.model,LOTRModelGulfChestplate,,referenced,named in: LOTRGulfenChestplateModel
client.model,LOTRModelGundabadUrukHelmet,LOTRGundabadUrukHelmetModel,ported,
client.model,LOTRModelHalfTroll,,missing,
client.model,LOTRModelHaradRobes,,missing,
client.model,LOTRModelHaradTurban,,missing,
client.model,LOTRModelHarnedorChestplate,,referenced,named in: LOTRHarnennorChestplateModel
client.model,LOTRModelHarnedorHelmet,,referenced,named in: LOTRHarnennorHelmetModel
client.model,LOTRModelHeadPlate,LOTRPlateHeadRenderer,ported,
client.model,LOTRModelHighElvenHelmet,,referenced,named in: LOTRArmorRenderers LOTRLindonHelmetModel
client.model,LOTRModelHobbit,,missing,
client.model,LOTRModelHuman,,missing,
client.model,LOTRModelHuorn,,missing,
client.model,LOTRModelKebabStand,LOTRKebabStandModel,ported,
client.model,LOTRModelLeatherHat,,missing,
client.model,LOTRModelLion,,missing,
client.model,LOTRModelLionOld,,missing,
client.model,LOTRModelLionRug,,missing,
client.model,LOTRModelMallornEntTrophy,,missing,
client.model,LOTRModelMarshWraith,,missing,
client.model,LOTRModelMidge,,missing,
client.model,LOTRModelMoredainLionHelmet,,referenced,named in: LOTRMorwaithChieftainHelmetModel
client.model,LOTRModelMorgulHelmet,LOTRMorgulHelmetModel,ported,
client.model,LOTRModelMug,LOTRMugBlock LOTRMugBlockEntity LOTRMugRenderState LOTRMugRenderer,ported,
client.model,LOTRModelNearHaradWarlordHelmet,,referenced,named in: LOTRSouthronChampionHelmetModel
client.model,LOTRModelOrc,,missing,
client.model,LOTRModelPartyHat,,missing,
client.model,LOTRModelPortal,,missing,
client.model,LOTRModelRabbit,,missing,
client.model,LOTRModelRhino,,missing,
client.model,LOTRModelRohanMarshalHelmet,,referenced,named in: LOTRRohirricMarshalHelmetModel
client.model,LOTRModelSauron,,missing,
client.model,LOTRModelScorpion,,missing,
client.model,LOTRModelSkeleton,,missing,
client.model,LOTRModelSkullCup,,referenced,named in: LOTRVesselModels
client.model,LOTRModelSmokeShip,,missing,
client.model,LOTRModelSpider,,missing,
client.model,LOTRModelSwan,,missing,
client.model,LOTRModelSwanChestplate,,missing,
client.model,LOTRModelSwanHelmet,LOTRSwanHelmetModel,ported,
client.model,LOTRModelTauredainChieftainHelmet,,referenced,named in: LOTRTaurethrimChieftainHelmetModel
client.model,LOTRModelTauredainGoldHelmet,,referenced,named in: LOTRGoldenTaurethrimHelmetModel
client.model,LOTRModelTermite,,missing,
client.model,LOTRModelTroll,LOTRTrollModel,ported,
client.model,LOTRModelTrollTotem,LOTRTrollTotemModel,ported,
client.model,LOTRModelUmbarHelmet,,referenced,named in: LOTRUmbaricHelmetModel
client.model,LOTRModelUnsmeltery,LOTRUnsmelteryModel,ported,
client.model,LOTRModelUrukHelmet,LOTRUrukHelmetModel,ported,
client.model,LOTRModelWarg,,missing,
client.model,LOTRModelWargskinRug,,missing,
client.model,LOTRModelWeaponRack,LOTRWeaponRackModel,ported,
client.model,LOTRModelWineGlass,,referenced,named in: LOTRVesselModels
client.model,LOTRModelWingedHelmet,,referenced,named in: LOTRGondorWingedHelmetModel
client.model,LOTRModelWizardHat,,missing,
client.render,LOTRBufferedImageIcon,,missing,
client.render,LOTRCloudRenderer,,missing,
client.render,LOTRConnectedTextures,,referenced,named in: LOTRConnectedBorder LOTRConnectedBorderSpriteSource LOTRGateBorders LOTRGateModel
client.render,LOTRDrinkIcons,,missing,
client.render,LOTRRenderBlocks,LOTRBlocks,ported,
client.render,LOTRRenderNorthernLights,,missing,
client.render,LOTRRenderPlayer,,missing,
client.render,LOTRRenderShield,,missing,
client.render,LOTRSkyRenderer,,missing,
client.render,LOTRWeatherRenderer,,missing,
client.render.entity,LOTRGlowingEyes,,missing,
client.render.entity,LOTRHuornTextures,,missing,
client.render.entity,LOTRNPCRendering,,missing,
client.render.entity,LOTRRandomSkins,,missing,
client.render.entity,LOTRRenderAlignmentBonus,,missing,
client.render.entity,LOTRRenderAngmarHillman,,missing,
client.render.entity,LOTRRenderArrowPoisoned,LOTRPoisonedArrowRenderer,ported,
client.render.entity,LOTRRenderAurochs,,missing,
client.render.entity,LOTRRenderBalrog,,missing,
client.render.entity,LOTRRenderBandit,,missing,
client.render.entity,LOTRRenderBanner,LOTRBannerRenderer,ported,
client.render.entity,LOTRRenderBannerWall,LOTRWallBannerBlock,ported,
