kind,old_field,old_unloc,old_meta,old_name,new_id,status,match,notes
block,Gravel,Gravel,,Gravel,,excluded,rule,
block,aleHornBlock,aleHorn,,,ale_horn_block,ported,id,
block,aleHornGoldBlock,aleHornGold,,,golden_ale_horn_block,ported,override,
block,alloyForge,alloyForge,,Alloy Forge,alloy_forge,ported,name,
block,angmarTable,angmarCraftingTable,,Angmar Crafting Table,angmar_crafting_table,ported,name,
block,appleCrumble,appleCrumble,,,apple_crumble,ported,id,
block,aridGrass,aridGrass,,Arid Grass,arid_grass,ported,name,
block,armorStand,armorStand,,,,excluded,rule,
block,asphodel,asphodel,,Asphodel,asphodel,ported,name,
block,athelas,athelas,,Athelas,athelas,ported,name,
block,bananaBlock,banana,,,banana_block,ported,id,
block,bananaCake,bananaCake,,,banana_cake,ported,id,
block,barrel,barrel,,Barrel,barrel,ported,name,
block,beacon,beacon,,Beacon of Gondor,beacon_of_gondor,ported,name,
block,berryBush,berryBush,0,Bare Blueberry Bush,berry_bush_blueberry,merged,override,bare bush is has_berries=false
block,berryBush,berryBush,1,Bare Blackberry Bush,berry_bush_blackberry,merged,override,bare bush is has_berries=false
block,berryBush,berryBush,10,Raspberry Bush,berry_bush_raspberry,ported,name,
block,berryBush,berryBush,11,Cranberry Bush,berry_bush_cranberry,ported,name,
block,berryBush,berryBush,12,Elderberry Bush,berry_bush_elderberry,ported,name,
block,berryBush,berryBush,13,Wildberry Bush,berry_bush_wildberry,ported,name,
block,berryBush,berryBush,2,Bare Raspberry Bush,berry_bush_raspberry,merged,override,bare bush is has_berries=false
block,berryBush,berryBush,3,Bare Cranberry Bush,berry_bush_cranberry,merged,override,bare bush is has_berries=false
block,berryBush,berryBush,4,Bare Elderberry Bush,berry_bush_elderberry,merged,override,bare bush is has_berries=false
block,berryBush,berryBush,5,Bare Wildberry Bush,berry_bush_wildberry,merged,override,bare bush is has_berries=false
block,berryBush,berryBush,8,Blueberry Bush,berry_bush_blueberry,ported,name,
block,berryBush,berryBush,9,Blackberry Bush,berry_bush_blackberry,ported,name,
block,berryPie,berryPie,,,berry_pie,ported,id,
block,birdCage,birdCage,0,Bronze Bird Cage,bronze_bird_cage,ported,name,
block,birdCage,birdCage,1,Iron Bird Cage,iron_bird_cage,ported,name,
block,birdCage,birdCage,2,Silver Bird Cage,silver_bird_cage,ported,name,
block,birdCage,birdCage,3,Golden Bird Cage,gold_bird_cage,ported,name,
block,birdCageWood,birdCageWood,0,Wooden Bird Cage,wooden_bird_cage,ported,name,
block,blackroot,blackroot,,Blackroot,blackroot,ported,name,
block,blockGem,blockGem,0,Topaz Block,topaz_block,ported,name,
block,blockGem,blockGem,1,Amethyst Block,amethyst_block,ported,name,
block,blockGem,blockGem,2,Sapphire Block,sapphire_block,ported,name,
block,blockGem,blockGem,3,Ruby Block,ruby_block,ported,name,
block,blockGem,blockGem,4,Amber Block,amber_block,ported,name,
block,blockGem,blockGem,5,Diamond Block,diamond_block,ported,name,
block,blockGem,blockGem,6,Pearl Block,pearl_block,ported,name,
block,blockGem,blockGem,7,Opal Block,opal_block,ported,name,
block,blockGem,blockGem,8,Coral Block,coral_block,ported,name,
block,blockGem,blockGem,9,Emerald Block,emerald_block,ported,name,
block,blueDwarfBars,blueDwarfBars,,Blue Dwarven Steel Bars,blue_dwarf_bars,ported,name,
block,blueDwarvenTable,blueDwarvenCraftingTable,,Blue Mountains Crafting Table,blue_dwarven_crafting_table,ported,name,
block,bluebell,bluebell,,Bluebell,bluebell,ported,name,
block,boneBlock,boneBlock,,Bone Block,bone_block,ported,name,
block,bookshelfStorage,bookshelfStorage,,,,missing,,
block,breeTable,breeCraftingTable,,Bree-land Crafting Table,bree_crafting_table,ported,name,
block,brick,brick,0,Mordor Brick,mordor_brick,ported,name,
block,brick,brick,1,Gondor Brick,gondor_brick,ported,name,
block,brick,brick,10,Mithril-trimmed Dwarven Brick,dwarven_mithril_brick,ported,name,
block,brick,brick,11,Galadhrim Brick,galadhrim_brick,ported,name,
block,brick,brick,12,Mossy Galadhrim Brick,mossy_galadhrim_brick,ported,name,
block,brick,brick,13,Cracked Galadhrim Brick,cracked_galadhrim_brick,ported,name,
block,brick,brick,14,Luigon Brick,blue_rock_brick,ported,name,
block,brick,brick,15,Haradric Brick,near_harad_brick,ported,name,
block,brick,brick,2,Mossy Gondor Brick,mossy_gondor_brick,ported,name,
block,brick,brick,3,Cracked Gondor Brick,cracked_gondor_brick,ported,name,
block,brick,brick,4,Rohan Brick,rohan_brick,ported,name,
block,brick,brick,5,Carved Gondor Brick,carved_gondor_brick,ported,name,
block,brick,brick,6,Dwarven Brick,dwarven_brick,ported,name,
block,brick,brick,7,Cracked Mordor Brick,cracked_mordor_brick,ported,name,
block,brick,brick,8,Silver-trimmed Dwarven Brick,dwarven_silver_brick,ported,name,
block,brick,brick,9,Gold-trimmed Dwarven Brick,dwarven_gold_brick,ported,name,
block,brick2,brick2,0,Angmar Brick,angmar_brick,ported,name,
block,brick2,brick2,1,Cracked Angmar Brick,cracked_angmar_brick,ported,name,
block,brick2,brick2,10,Carved Mordor Brick,carved_mordor_brick,ported,name,
block,brick2,brick2,11,Númenórean Brick,numenorean_brick,ported,name,
block,brick2,brick2,12,Carved Dwarven Brick,carved_dwarven_brick,ported,name,
block,brick2,brick2,13,Carved High Elven Brick,carved_high_elven_brick,ported,name,
block,brick2,brick2,14,Carved Wood-elven Brick,carved_wood_elven_brick,ported,name,
block,brick2,brick2,15,Carved Galadhrim Brick,carved_galadhrim_brick,ported,name,
block,brick2,brick2,2,Cargon Brick,red_rock_brick,ported,name,
block,brick2,brick2,3,Arnor Brick,arnor_brick,ported,name,
block,brick2,brick2,4,Mossy Arnor Brick,mossy_arnor_brick,ported,name,
block,brick2,brick2,5,Cracked Arnor Brick,cracked_arnor_brick,ported,name,
block,brick2,brick2,6,Carved Arnor Brick,carved_arnor_brick,ported,name,
block,brick2,brick2,7,Uruk Brick,uruk_brick,ported,name,
block,brick2,brick2,8,Dol Guldur Brick,dol_guldur_brick,ported,name,
block,brick2,brick2,9,Cracked Dol Guldur Brick,cracked_dol_guldur_brick,ported,name,
block,brick3,brick3,0,Carved Luigon Brick,blue_carved_brick,ported,name,
block,brick3,brick3,1,Carved Cargon Brick,red_carved_brick,ported,name,
block,brick3,brick3,10,Morwaith Brick,morwaith_brick,ported,name,
block,brick3,brick3,11,Cracked Haradric Brick,near_harad_cracked_brick,ported,name,
block,brick3,brick3,12,Glowing Dwarven Brick,glowing_dwarven_brick,ported,name,
block,brick3,brick3,13,Red Haradric Brick,near_harad_red_brick,ported,name,
block,brick3,brick3,14,Cracked Red Haradric Brick,near_harad_red_cracked_brick,ported,name,
block,brick3,brick3,15,Carved Red Haradric Brick,near_harad_red_carved_brick,ported,name,
block,brick3,brick3,2,High Elven Brick,high_elven_brick,ported,name,
block,brick3,brick3,3,Mossy High Elven Brick,mossy_high_elven_brick,ported,name,
block,brick3,brick3,4,Cracked High Elven Brick,cracked_high_elven_brick,ported,name,
block,brick3,brick3,5,Wood-elven Brick,wood_elven_brick,ported,name,
block,brick3,brick3,6,Mossy Wood-elven Brick,mossy_wood_elven_brick,ported,name,
block,brick3,brick3,7,Cracked Wood-elven Brick,cracked_wood_elven_brick,ported,name,
block,brick3,brick3,8,Carved Haradric Brick,near_harad_carved_brick,ported,name,
block,brick3,brick3,9,Dol Amroth Brick,dol_amroth_brick,ported,name,
block,brick4,brick4,0,Taurethrim Brick,tauredain_brick,ported,name,
block,brick4,brick4,1,Mossy Taurethrim Brick,tauredain_mossy_brick,ported,name,
block,brick4,brick4,10,Silver-trimmed Wood-elven Brick,wood_elven_silver_brick,ported,name,
block,brick4,brick4,11,Gold-trimmed High Elven Brick,high_elven_gold_brick,ported,name,
block,brick4,brick4,12,Gold-trimmed Galadhrim Brick,galadhrim_gold_brick,ported,name,
block,brick4,brick4,13,Gold-trimmed Wood-elven Brick,wood_elven_gold_brick,ported,name,
block,brick4,brick4,14,Obsidian Dwarven Brick,obsidian_dwarven_brick,ported,name,
block,brick4,brick4,15,Chalk Brick,chalk_brick,ported,name,
block,brick4,brick4,2,Cracked Taurethrim Brick,tauredain_cracked_brick,ported,name,
block,brick4,brick4,3,Golden Taurethrim Brick,tauredain_gold_brick,ported,name,
block,brick4,brick4,4,Obsidian Taurethrim Brick,tauredain_obsidian_brick,ported,name,
block,brick4,brick4,5,Cracked Dwarven Brick,cracked_dwarven_brick,ported,name,
block,brick4,brick4,6,Carved Black Gondor Brick,carved_black_gondor_brick,ported,override,Carved Black Gondor Brick (not carved_gondor_brick)
block,brick4,brick4,7,Lapis-trimmed Haradric Brick,near_harad_lapis_brick,ported,name,
block,brick4,brick4,8,Silver-trimmed High Elven Brick,high_elven_silver_brick,ported,name,
block,brick4,brick4,9,Silver-trimmed Galadhrim Brick,galadhrim_silver_brick,ported,name,
block,brick5,brick5,0,Mud Brick,mud_brick,ported,name,
block,brick5,brick5,1,Dalish Brick,dale_brick,ported,name,
block,brick5,brick5,10,Cracked Gondor Cobblebrick,cracked_gondor_cobblebrick,ported,name,
block,brick5,brick5,11,Rhûnic Brick,rhun_brick,ported,name,
block,brick5,brick5,12,Carved Rhûnic Brick,rhun_carved_brick,ported,name,
block,brick5,brick5,13,Mossy Rhûnic Brick,rhun_mossy_brick,ported,name,
block,brick5,brick5,14,Cracked Rhûnic Brick,rhun_cracked_brick,ported,name,
block,brick5,brick5,15,Flowery Rhûnic Brick,rhun_flowers_brick,ported,name,
block,brick5,brick5,2,Dorwinion Brick,dorwinion_brick,ported,name,
block,brick5,brick5,3,Carved Rohan Brick,carved_rohan_brick,ported,name,
block,brick5,brick5,4,Mossy Dorwinion Brick,mossy_dorwinion_brick,ported,name,
block,brick5,brick5,5,Cracked Dorwinion Brick,cracked_dorwinion_brick,ported,name,
block,brick5,brick5,6,Carved Dorwinion Brick,carved_dorwinion_brick,ported,name,
block,brick5,brick5,7,Flowery Dorwinion Brick,dorwinion_flowers_brick,ported,name,
block,brick5,brick5,8,Gondor Cobblebrick,gondor_cobblebrick,ported,name,
block,brick5,brick5,9,Mossy Gondor Cobblebrick,mossy_gondor_cobblebrick,ported,name,
