group,old_key,old_text
lotr.menu,lotr.menu.title,The Lord of the Rings Mod: Bringing Middle-earth to Minecraft
lotr.config,lotr.config.dimension,Dimension IDs
lotr.config,lotr.config.gameplay,Gameplay
lotr.config,lotr.config.gui,Display & GUI
lotr.config,lotr.config.environment,Environment & World
lotr.config,lotr.config.misc,Miscellaneous
generator.middleEarth,generator.middleEarth.info,Spawn directly into Middle-earth
generator.meClassic,generator.meClassic,M.E. Classic
generator.meClassic,generator.meClassic.info,"Spawn directly into Middle-earth, with random biome generation"
tile.dirt,tile.dirt.coarse.name,Barren Dirt
tile.stoneSlab,tile.stoneSlab.stone.name,Smooth Stone Slab
tile.stairsStone,tile.stairsStone.name,Cobblestone Stairs
tile.trapdoor,tile.trapdoor.name,Oak Trapdoor
tile.monsterStoneEgg,tile.monsterStoneEgg.stone.name,Silverfish Block
tile.monsterStoneEgg,tile.monsterStoneEgg.cobble.name,Silverfish Block
tile.monsterStoneEgg,tile.monsterStoneEgg.brick.name,Silverfish Block
tile.monsterStoneEgg,tile.monsterStoneEgg.mossybrick.name,Silverfish Block
tile.monsterStoneEgg,tile.monsterStoneEgg.crackedbrick.name,Silverfish Block
tile.monsterStoneEgg,tile.monsterStoneEgg.chiseledbrick.name,Silverfish Block
tile.fenceGate,tile.fenceGate.name,Oak Fence Gate
item.doorWood,item.doorWood.name,Oak Door
tile.lotr,tile.lotr.fenceVanilla.0.name,Oak Fence
tile.lotr,tile.lotr.fenceVanilla.1.name,Spruce Fence
tile.lotr,tile.lotr.fenceVanilla.2.name,Birch Fence
tile.lotr,tile.lotr.fenceVanilla.3.name,Jungle Fence
tile.lotr,tile.lotr.fenceVanilla.4.name,Acacia Fence
tile.lotr,tile.lotr.fenceVanilla.5.name,Dark Oak Fence
tile.lotr,tile.lotr.fallenLeaves,Fallen %s
item.lotr,item.lotr.crossbow.loaded,%s (Loaded)
item.lotr,item.lotr.crossbow.loadedItem,Loaded with: %s
item.lotr,item.lotr.hat.dyed,Dyed
item.lotr,item.lotr.hat.feathered,Feathered
item.lotr,item.lotr.pouch.slots,%d of %d slots in use
item.lotr,item.lotr.pouch.dyed,Dyed
