new_id,kind,name
angmar_wall_banner,block,Banner of Angmar
anorien_wall_banner,block,Banner of Anórien
anvil,block,LOTR Anvil
black_uruk_wall_banner,block,Banner of the Black Uruks
blackroot_vale_wall_banner,block,Banner of Blackroot Vale
blue_dalish_cracker,item,Dalish Cracker
blue_mountains_wall_banner,block,Banner of the Blue Mountains
bree_wall_banner,block,Banner of Bree-land
carved_numenorean_brick,block,Carved Númenórean Brick
command_horn,item,Horn of Command
command_horn[sound],item,Horn of Command
cracker[empty],item,Unsealed %s
dale_wall_banner,block,Banner of Dale
dol_amroth_wall_banner,block,Banner of Dol Amroth
dol_guldur_wall_banner,block,Banner of Dol Guldur
dorwinion_wall_banner,block,Banner of Dorwinion
double_strength_orc_bomb,block,Orc Bomb
double_strength_orc_fire_bomb,block,Orc Bomb
drink[alcoholicity],item,Alcoholicity
drink[explode],item,Volatile!
drink[light],item,Light
drink[moderate],item,Moderate
drink[poison],item,Poisoned!
drink[potent],item,Potent
drink[strong],item,Strong
drink[weak],item,Weak
drystone_slab,block,Drystone Slab
drystone_stairs,block,Drystone Stairs
drystone_wall,block,Drystone Wall
dunland_wall_banner,block,Banner of Dunland
durin_wall_banner,block,Banner of Durin's Folk
ent_draught,item,Ent-draught
esgaroth_wall_banner,block,Banner of Esgaroth
fallen_acacia_leaves,item,
fallen_almond_leaves,item,
fallen_apple_leaves,item,
fallen_aspen_leaves,item,
fallen_banana_leaves,item,
fallen_baobab_leaves,item,
fallen_beech_leaves,item,
fallen_birch_leaves,item,
fallen_cedar_leaves,item,
fallen_cherry_leaves,item,
fallen_chestnut_leaves,item,
fallen_cypress_leaves,item,
fallen_dark_oak_leaves,item,
fallen_date_palm_leaves,item,
fallen_dragon_leaves,item,
fallen_fir_leaves,item,
fallen_green_oak_leaves,item,
fallen_holly_leaves,item,
fallen_jungle_leaves,item,
fallen_kanuka_leaves,item,
fallen_lairelosse_leaves,item,
fallen_larch_leaves,item,
fallen_leaves,block,Fallen %s
fallen_lebethron_leaves,item,
fallen_lemon_leaves,item,
fallen_lime_leaves,item,
fallen_mahogany_leaves,item,
fallen_mango_leaves,item,
fallen_mangrove_leaves,item,
fallen_maple_leaves,item,
fallen_mirk_oak_leaves,item,
fallen_mirk_oak_red_leaves,item,
fallen_olive_leaves,item,
fallen_orange_leaves,item,
fallen_palm_leaves,item,
fallen_pear_leaves,item,
fallen_pine_leaves,item,
fallen_plum_leaves,item,
fallen_pomegranate_leaves,item,
fallen_redwood_leaves,item,
fallen_shire_pine_leaves,item,
fallen_spruce_leaves,item,
fallen_willow_leaves,item,
gold_dalish_cracker,item,Dalish Cracker
gondor_steward_wall_banner,block,Banner of the Stewards of Gondor
gondor_wall_banner,block,Banner of Gondor
goran_rock,block,Cargoran
green_dalish_cracker,item,Dalish Cracker
gulduril_mordor_ore,block,Gulduril Mordor Ore
gundabad_wall_banner,block,Banner of Gundabad
half_troll_wall_banner,block,Banner of the Half-trolls
harad_gulf_wall_banner,block,Banner of the Gulf of Harad
harad_nomad_wall_banner,block,Banner of the Southron Nomads
hat[dyed],item,Dyed
hat[feathered],item,Feathered
high_elf_wall_banner,block,Banner of Lindon
high_elven_wall_torch,block,High Elven Wall Torch
hobbit_wall_banner,block,Banner of the Hobbits
isengard_wall_banner,block,Banner of Isengard
ithilien_wall_banner,block,Banner of Ithilien
ivy,block,Ivy
kebab_stand[cooked],block,Cooked
kebab_stand[meats],block,%d meat
khamuls_fire_jar[warning],block,Extremely volatile
lamedon_wall_banner,block,Banner of Lamedon
lebennin_wall_banner,block,Banner of Lebennin
lossarnach_wall_banner,block,Banner of Lossarnach
lothlorien_wall_banner,block,Banner of Lothlórien
mallorn_blue_wall_torch,block,Mallorn Blue Wall Torch
mallorn_gold_wall_torch,block,Mallorn Gold Wall Torch
mallorn_green_wall_torch,block,Mallorn Green Wall Torch
mallorn_wall_torch,block,Mallorn Wall Torch
mechanised_rail,block,Mechanised Rail
minas_morgul_wall_banner,block,Banner of Minas Morgul
mirkwood_wall_banner,block,Banner of the Woodland Realm
mordor_moss_rock,block,Mossy Mordor Rock
mordor_wall_banner,block,Banner of Mordor
moredain_wall_banner,block,Banner of the Morwaith
morgul_iron_mordor_ore,block,Morgul Iron Mordor Ore
morgul_wall_torch,block,Morgul Wall Torch
nan_ungol_wall_banner,block,Banner of Nan Ungol
near_harad_wall_banner,block,Banner of Near Harad
obsidian_key_handle,item,Key Handle
obsidian_key_pin,item,Key Pin
obsidian_key_shaft,item,Key Shaft
orc_bomb[double_strength],block,Double Strength
orc_bomb[fire],block,Fire
orc_bomb[triple_strength],block,Triple Strength
orc_fire_bomb,block,Orc Bomb
pelargir_wall_banner,block,Banner of Pelargir
pinnath_gelin_wall_banner,block,Banner of Pinnath Gelin
ranger_wall_banner,block,Banner of the Dúnedain of the North
red_ivy,block,Red Ivy
rhudaur_wall_banner,block,Banner of the Rhudaur Hillmen
rhun_wall_banner,block,Banner of Rhúdel
rivendell_wall_banner,block,Banner of Rivendell
rohan_wall_banner,block,Banner of Rohan
silver_dalish_cracker,item,Dalish Cracker
smiths_scroll,item,Smith's Scroll
tauredain_wall_banner,block,Banner of the Taurethrim
treasure_copper_carpet,item,Copper Treasure Pile
treasure_gold_carpet,item,Gold Treasure Pile
treasure_silver_carpet,item,Silver Treasure Pile
triple_strength_orc_bomb,block,Orc Bomb
