method,table,old_result,port_result,status,notes
createAngmarRecipes,angmar,brick2/0,lotr:angmar_brick,present,
createAngmarRecipes,angmar,angmarTable,lotr:angmar_crafting_table,present,
createAngmarRecipes,angmar,swordAngmar,lotr:angmar_sword,present,
createAngmarRecipes,angmar,battleaxeAngmar,lotr:angmar_battleaxe,present,
createAngmarRecipes,angmar,daggerAngmar,lotr:angmar_dagger,present,
createAngmarRecipes,angmar,helmetAngmar,lotr:angmar_helmet,present,
createAngmarRecipes,angmar,bodyAngmar,lotr:angmar_chestplate,present,
createAngmarRecipes,angmar,legsAngmar,lotr:angmar_leggings,present,
createAngmarRecipes,angmar,bootsAngmar,lotr:angmar_boots,present,
createAngmarRecipes,angmar,slabSingle3/3,lotr:angmar_brick_slab,present,
createAngmarRecipes,angmar,stairsAngmarBrick,lotr:angmar_brick_stairs,present,
createAngmarRecipes,angmar,wall2/0,lotr:angmar_brick_wall,present,
createAngmarRecipes,angmar,orcTorchItem,lotr:orc_torch,present,
createAngmarRecipes,angmar,spearAngmar,lotr:angmar_spear,present,
createAngmarRecipes,angmar,shovelAngmar,lotr:angmar_shovel,present,
createAngmarRecipes,angmar,pickaxeAngmar,lotr:angmar_pickaxe,present,
createAngmarRecipes,angmar,axeAngmar,lotr:angmar_axe,present,
createAngmarRecipes,angmar,hoeAngmar,lotr:angmar_hoe,present,
createAngmarRecipes,angmar,hammerAngmar,lotr:angmar_warhammer,present,
createAngmarRecipes,angmar,slabSingle3/4,lotr:cracked_angmar_brick_slab,present,
createAngmarRecipes,angmar,stairsAngmarBrickCracked,lotr:cracked_angmar_brick_stairs,present,
createAngmarRecipes,angmar,wall2/1,lotr:cracked_angmar_brick_wall,present,
createAngmarRecipes,angmar,orcForge,lotr:orc_forge,present,
createAngmarRecipes,angmar,banner/angmar,lotr:angmar_banner,present,
createAngmarRecipes,angmar,wargArmorAngmar,lotr:angmar_warg_armor,present,
createAngmarRecipes,angmar,pillar2/4,lotr:angmar_pillar,present,
createAngmarRecipes,angmar,slabSingle9/4,lotr:angmar_pillar_slab,present,
createAngmarRecipes,angmar,polearmAngmar,lotr:angmar_poleaxe,present,
createAngmarRecipes,angmar,banner/rhudaur,lotr:rhudaur_banner,present,
createAngmarRecipes,angmar,brick6/10,lotr:angmar_snow_brick,present,
createAngmarRecipes,angmar,slabSingle12/7,lotr:angmar_snow_brick_slab,present,
createAngmarRecipes,angmar,stairsAngmarBrickSnow,lotr:angmar_snow_brick_stairs,present,
createAngmarRecipes,angmar,wall5/2,lotr:angmar_snow_brick_wall,present,
createBlueMountainsRecipes,blue_dwarven,blueDwarvenTable,lotr:blue_dwarven_crafting_table,present,
createBlueMountainsRecipes,blue_dwarven,shovelBlueDwarven,lotr:blue_dwarven_shovel,present,
createBlueMountainsRecipes,blue_dwarven,pickaxeBlueDwarven,lotr:blue_dwarven_pickaxe,present,
createBlueMountainsRecipes,blue_dwarven,axeBlueDwarven,lotr:blue_dwarven_axe,present,
createBlueMountainsRecipes,blue_dwarven,swordBlueDwarven,lotr:blue_dwarven_sword,present,
createBlueMountainsRecipes,blue_dwarven,hoeBlueDwarven,lotr:blue_dwarven_hoe,present,
createBlueMountainsRecipes,blue_dwarven,daggerBlueDwarven,lotr:blue_dwarven_dagger,present,
createBlueMountainsRecipes,blue_dwarven,battleaxeBlueDwarven,lotr:blue_dwarven_battleaxe,present,
createBlueMountainsRecipes,blue_dwarven,hammerBlueDwarven,lotr:blue_dwarven_warhammer,present,
createBlueMountainsRecipes,blue_dwarven,helmetBlueDwarven,lotr:blue_dwarven_helmet,present,
createBlueMountainsRecipes,blue_dwarven,bodyBlueDwarven,lotr:blue_dwarven_chestplate,present,
createBlueMountainsRecipes,blue_dwarven,legsBlueDwarven,lotr:blue_dwarven_leggings,present,
createBlueMountainsRecipes,blue_dwarven,bootsBlueDwarven,lotr:blue_dwarven_boots,present,
createBlueMountainsRecipes,blue_dwarven,throwingAxeBlueDwarven,lotr:blue_dwarven_throwing_axe,present,
createBlueMountainsRecipes,blue_dwarven,chandelier/11,lotr:blue_dwarven_chandelier,present,
createBlueMountainsRecipes,blue_dwarven,mattockBlueDwarven,lotr:blue_dwarven_mattock,present,
createBlueMountainsRecipes,blue_dwarven,banner/blueMountains,lotr:blue_mountains_banner,present,
createBlueMountainsRecipes,blue_dwarven,spearBlueDwarven,lotr:blue_dwarven_spear,present,
createBlueMountainsRecipes,blue_dwarven,blueDwarfBars,lotr:blue_dwarf_bars,present,
createBlueMountainsRecipes,blue_dwarven,boarArmorBlueDwarven,lotr:blue_dwarven_boar_armor,present,
createBlueMountainsRecipes,blue_dwarven,pikeBlueDwarven,lotr:blue_dwarven_pike,present,
createBlueMountainsRecipes,blue_dwarven,gateDwarven,lotr:dwarven_gate,present,
createBlueMountainsRecipes,blue_dwarven,mechanism,lotr:mechanism,present,
createBreeRecipes,bree,breeTable,lotr:bree_crafting_table,present,
createBreeRecipes,bree,banner/bree,lotr:bree_banner,present,
createCommonDwarfRecipes,dwarven,brick/6,lotr:dwarven_brick,present,
createCommonDwarfRecipes,blue_dwarven,brick/6,lotr:dwarven_brick,present,
createCommonDwarfRecipes,dwarven,stairsDwarvenBrick,lotr:dwarven_brick_stairs,present,
createCommonDwarfRecipes,blue_dwarven,stairsDwarvenBrick,lotr:dwarven_brick_stairs,present,
createCommonDwarfRecipes,dwarven,slabSingle/7,lotr:dwarven_brick_slab,present,
createCommonDwarfRecipes,blue_dwarven,slabSingle/7,lotr:dwarven_brick_slab,present,
createCommonDwarfRecipes,dwarven,wall/7,lotr:dwarven_brick_wall,present,
createCommonDwarfRecipes,blue_dwarven,wall/7,lotr:dwarven_brick_wall,present,
createCommonDwarfRecipes,dwarven,pillar/0,lotr:dwarven_pillar,present,
createCommonDwarfRecipes,blue_dwarven,pillar/0,lotr:dwarven_pillar,present,
createCommonDwarfRecipes,dwarven,dwarvenForge,lotr:dwarven_forge,present,
createCommonDwarfRecipes,blue_dwarven,dwarvenForge,lotr:dwarven_forge,present,
createCommonDwarfRecipes,dwarven,slabSingle2/0,lotr:dwarven_pillar_slab,present,
createCommonDwarfRecipes,blue_dwarven,slabSingle2/0,lotr:dwarven_pillar_slab,present,
createCommonDwarfRecipes,dwarven,dwarvenDoor,lotr:dwarven_door,present,
createCommonDwarfRecipes,blue_dwarven,dwarvenDoor,lotr:dwarven_door,present,
createCommonDwarfRecipes,dwarven,dwarvenDoorIthildin,lotr:ithildin_dwarven_door,present,
createCommonDwarfRecipes,blue_dwarven,dwarvenDoorIthildin,lotr:ithildin_dwarven_door,present,
createCommonDwarfRecipes,dwarven,dwarvenBedItem,lotr:dwarven_bed,present,
createCommonDwarfRecipes,blue_dwarven,dwarvenBedItem,lotr:dwarven_bed,present,
createCommonDwarfRecipes,dwarven,brick/8,lotr:dwarven_silver_brick,present,
createCommonDwarfRecipes,blue_dwarven,brick/8,lotr:dwarven_silver_brick,present,
createCommonDwarfRecipes,dwarven,brick/9,lotr:dwarven_gold_brick,present,
createCommonDwarfRecipes,blue_dwarven,brick/9,lotr:dwarven_gold_brick,present,
createCommonDwarfRecipes,dwarven,brick/10,lotr:dwarven_mithril_brick,present,
createCommonDwarfRecipes,blue_dwarven,brick/10,lotr:dwarven_mithril_brick,present,
createCommonDwarfRecipes,dwarven,brick2/12,lotr:carved_dwarven_brick,present,
createCommonDwarfRecipes,blue_dwarven,brick2/12,lotr:carved_dwarven_brick,present,
createCommonDwarfRecipes,dwarven,brick3/12,lotr:glowing_dwarven_brick,present,
createCommonDwarfRecipes,blue_dwarven,brick3/12,lotr:glowing_dwarven_brick,present,
createCommonDwarfRecipes,dwarven,stairsDwarvenBrickCracked,lotr:cracked_dwarven_brick_stairs,present,
createCommonDwarfRecipes,blue_dwarven,stairsDwarvenBrickCracked,lotr:cracked_dwarven_brick_stairs,present,
createCommonDwarfRecipes,dwarven,slabSingle7/6,lotr:cracked_dwarven_brick_slab,present,
createCommonDwarfRecipes,blue_dwarven,slabSingle7/6,lotr:cracked_dwarven_brick_slab,present,
createCommonDwarfRecipes,dwarven,wall4/5,lotr:cracked_dwarven_brick_wall,present,
createCommonDwarfRecipes,blue_dwarven,wall4/5,lotr:cracked_dwarven_brick_wall,present,
createCommonDwarfRecipes,dwarven,slabSingle7/7,lotr:cracked_dwarven_pillar_slab,present,
createCommonDwarfRecipes,blue_dwarven,slabSingle7/7,lotr:cracked_dwarven_pillar_slab,present,
createCommonDwarfRecipes,dwarven,brick4/14,lotr:obsidian_dwarven_brick,present,
createCommonDwarfRecipes,blue_dwarven,brick4/14,lotr:obsidian_dwarven_brick,present,
createCommonDwarfRecipes,dwarven,stairsDwarvenBrickObsidian,lotr:obsidian_dwarven_brick_stairs,present,
createCommonDwarfRecipes,blue_dwarven,stairsDwarvenBrickObsidian,lotr:obsidian_dwarven_brick_stairs,present,
createCommonDwarfRecipes,dwarven,slabSingle8/6,lotr:obsidian_dwarven_brick_slab,present,
createCommonDwarfRecipes,blue_dwarven,slabSingle8/6,lotr:obsidian_dwarven_brick_slab,present,
createCommonDwarfRecipes,dwarven,wall4/6,lotr:obsidian_dwarven_brick_wall,present,
createCommonDwarfRecipes,blue_dwarven,wall4/6,lotr:obsidian_dwarven_brick_wall,present,
createCommonDwarfRecipes,dwarven,chiselIthildin,lotr:moon_chisel,present,
createCommonDwarfRecipes,blue_dwarven,chiselIthildin,lotr:moon_chisel,present,
createCommonElfRecipes,elven,helmetGalvorn,lotr:galvorn_helmet,present,
createCommonElfRecipes,wood_elven,helmetGalvorn,lotr:galvorn_helmet,present,
createCommonElfRecipes,high_elven,helmetGalvorn,lotr:galvorn_helmet,present,
createCommonElfRecipes,rivendell,helmetGalvorn,lotr:galvorn_helmet,present,
createCommonElfRecipes,elven,bodyGalvorn,lotr:galvorn_chestplate,present,
createCommonElfRecipes,wood_elven,bodyGalvorn,lotr:galvorn_chestplate,present,
createCommonElfRecipes,high_elven,bodyGalvorn,lotr:galvorn_chestplate,present,
createCommonElfRecipes,rivendell,bodyGalvorn,lotr:galvorn_chestplate,present,
createCommonElfRecipes,elven,legsGalvorn,lotr:galvorn_leggings,present,
createCommonElfRecipes,wood_elven,legsGalvorn,lotr:galvorn_leggings,present,
createCommonElfRecipes,high_elven,legsGalvorn,lotr:galvorn_leggings,present,
createCommonElfRecipes,rivendell,legsGalvorn,lotr:galvorn_leggings,present,
createCommonElfRecipes,elven,bootsGalvorn,lotr:galvorn_boots,present,
createCommonElfRecipes,wood_elven,bootsGalvorn,lotr:galvorn_boots,present,
createCommonElfRecipes,high_elven,bootsGalvorn,lotr:galvorn_boots,present,
createCommonElfRecipes,rivendell,bootsGalvorn,lotr:galvorn_boots,present,
createCommonElfRecipes,elven,chiselIthildin,lotr:moon_chisel,present,
createCommonElfRecipes,wood_elven,chiselIthildin,lotr:moon_chisel,present,
createCommonElfRecipes,high_elven,chiselIthildin,lotr:moon_chisel,present,
