table,port_result,files
angmar,lotr:poisoned_arrow,src/main/generated/data/lotr/recipe/faction/angmar/combat/poisoned_arrow.json
angmar,lotr:poisoned_crossbow_bolt,src/main/generated/data/lotr/recipe/faction/angmar/combat/poisoned_crossbow_bolt.json
dol_guldur,lotr:poisoned_arrow,src/main/generated/data/lotr/recipe/faction/dol_guldur/combat/poisoned_arrow.json
dol_guldur,lotr:poisoned_crossbow_bolt,src/main/generated/data/lotr/recipe/faction/dol_guldur/combat/poisoned_crossbow_bolt.json
gulf,lotr:poisoned_arrow,src/main/generated/data/lotr/recipe/faction/gulf/combat/poisoned_arrow.json
gulf,lotr:poisoned_crossbow_bolt,src/main/generated/data/lotr/recipe/faction/gulf/combat/poisoned_crossbow_bolt.json
gundabad,lotr:poisoned_arrow,src/main/generated/data/lotr/recipe/faction/gundabad/combat/poisoned_arrow.json
gundabad,lotr:poisoned_crossbow_bolt,src/main/generated/data/lotr/recipe/faction/gundabad/combat/poisoned_crossbow_bolt.json
half_troll,lotr:poisoned_arrow,src/main/generated/data/lotr/recipe/faction/half_troll/combat/poisoned_arrow.json
half_troll,lotr:poisoned_crossbow_bolt,src/main/generated/data/lotr/recipe/faction/half_troll/combat/poisoned_crossbow_bolt.json
morgul,lotr:poisoned_arrow,src/main/generated/data/lotr/recipe/faction/morgul/combat/poisoned_arrow.json
morgul,lotr:poisoned_crossbow_bolt,src/main/generated/data/lotr/recipe/faction/morgul/combat/poisoned_crossbow_bolt.json
near_harad,lotr:poisoned_arrow,src/main/generated/data/lotr/recipe/faction/near_harad/combat/poisoned_arrow.json
near_harad,lotr:poisoned_crossbow_bolt,src/main/generated/data/lotr/recipe/faction/near_harad/combat/poisoned_crossbow_bolt.json
umbar,lotr:poisoned_arrow,src/main/generated/data/lotr/recipe/faction/umbar/combat/poisoned_arrow.json
umbar,lotr:poisoned_crossbow_bolt,src/main/generated/data/lotr/recipe/faction/umbar/combat/poisoned_crossbow_bolt.json
uruk,lotr:poisoned_arrow,src/main/generated/data/lotr/recipe/faction/uruk/combat/poisoned_arrow.json
uruk,lotr:poisoned_crossbow_bolt,src/main/generated/data/lotr/recipe/faction/uruk/combat/poisoned_crossbow_bolt.json
vanilla,lotr:anvil,src/main/generated/data/lotr/recipe/misc/lotr_anvil.json
vanilla,lotr:apple_juice,src/main/generated/data/lotr/recipe/drink/apple_juice/mug.json src/main/resources/data/lotr/recipe/drink/apple_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/apple_juice/bottle.json src/main/resources/data/lotr/recipe/drink/apple_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/apple_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/apple_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/apple_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/apple_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/apple_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/apple_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/apple_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/apple_juice/wooden_cup.json
vanilla,lotr:blackberry_juice,src/main/generated/data/lotr/recipe/drink/blackberry_juice/mug.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/ale_horn.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/bottle.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/ceramic_mug.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/copper_goblet.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/golden_ale_horn.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/golden_goblet.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/silver_goblet.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/skull_cup.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/waterskin.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/wine_glass.json src/main/resources/data/lotr/recipe/drink/blackberry_juice/wooden_cup.json
